mrid,name,from_node,to_node,from_name,to_name,r_ohm,x_ohm,bch_s,length_km,kv,container
f99f957d-eef6-4eae-872a-124c165dc93a,33kV Line TRAB3M-TRAV3_3L9[sec]0,c3b6030e-b027-4337-9e2c-4b54e7019097,4aea7c95-44ce-4677-8cc1-ccc837bc9f9a,TRAB3M,TRAV3_3L9,1.66707,3.47408,5.66391e-05,9.319,33.0,867af7d1-2900-419a-9d37-2bbf5e6e3e04
e0afceda-26e8-4019-9992-750219f35687,33kV Line TRAV3_#1L5-ABEC3_2L5[sec]0,58909816-ac84-427d-89fd-8d89627e94d8,bef495d5-f801-4fb9-af07-5220727c0c2e,TRAV3_#1L5,ABEC3_2L5,1.1711,2.58316,5.90302e-05,7.452,33.0,dff8a3ab-366c-44e6-81f7-fc950cde2b45
42786957-4dda-4f0c-a27f-d6d9abaafcb9,33kV Line TRAV3_#1T0-TRAV31[sec]0,a29e33de-1622-446c-bf14-5a8b15c6b014,41c6b8f9-6770-4ae0-a2b2-7340f4986220,TRAV3_#1T0,TRAV31,0.00796583,0.0184804,1.79825e-05,0.18,33.0,59c8fe1e-0494-48b1-bf24-d7d344cd05b5
5f534326-70d8-4b51-878a-d6d1c58237af,33kV Line TRAV3_#2L5-TRAB3M[sec]0,8c9346bd-6192-410f-b9d7-9ff292652c8d,c3b6030e-b027-4337-9e2c-4b54e7019097,TRAV3_#2L5,TRAB3M,0.229055,0.473836,4.21149e-06,1.289,33.0,ddf287bf-b066-49f5-baaf-82712ae66e4e
357b49a4-a018-46e9-8071-def9808a22c7,33kV Line TRAV3_#2T0-TRAV32[sec]0,6c767aaf-c455-46f1-92c7-53b013b54073,0c997bfc-9324-445f-abb0-807f432b199f,TRAV3_#2T0,TRAV32,0.00796583,0.0184804,1.79825e-05,0.18,33.0,0eea3b1f-516b-437e-99c4-f8650d1040f3
5fbd42a5-2ffd-4b7d-b576-c62fb7cbcff5,33kV Line TRAV3_#3L5-POND3_#1L5[sec]0,239cf163-74a5-4eb6-a84e-226063c08fa3,cc039478-cafd-49e5-82d3-72f87b5c331f,TRAV3_#3L5,POND3_#1L5,1.44758,3.64768,0.000224,10.754,33.0,9a1de797-00b4-4250-bbee-36528d2242e4
ce7a1131-cdec-42b2-bad0-144fec5ec842,33kV Line TRAV3_#5L5-TRMY3M[sec]0,a8986d5b-73fd-49d9-b167-ab000c3f150e,c0ae9e4d-e235-4a05-848e-a3306b31afea,TRAV3_#5L5,TRMY3M,0.22944,0.473397,6.75922e-06,1.311,33.0,ff5102aa-1631-47e9-9de7-7752fab3bc48
8860bd46-1299-4c2a-8be4-d1b148eeeab3,33kV Line TRMY3M-52L6050P55[sec]0,c0ae9e4d-e235-4a05-848e-a3306b31afea,9c6976c7-52bd-4ea0-b797-6ad749ae1358,TRMY3M,52L6050P55,1.18312,2.493,4.43612e-05,6.562,33.0,be3da8ae-1097-445a-b9ad-5e97b1dc7091
7c723398-45f1-4d04-86c3-2d4ac1b5301f,33kV Line TROS3_#1L5-LLNT3_#1L0[sec]0,4c364af2-6119-4679-8c5b-f85c551c60c3,f2fd015f-d22a-43e8-9dd5-079d05e08677,TROS3_#1L5,LLNT3_#1L0,0.520677,1.06538,0.000249252,4.948,33.0,c8291d5a-a0ad-4ca6-b4f4-946a9cee5572
aacde580-e86b-4b4f-a539-a0e9d873e047,33kV Line TROS3_#2L5-WESF3T[sec]0,946f49f5-2a01-4bf1-9041-539fe8705704,11cbc2df-0714-4511-8e8c-9efef0963946,TROS3_#2L5,WESF3T,0.335929,0.841214,7.96477e-05,2.732,33.0,f16ec75c-4776-4fbb-b2f4-8bb1d6b1d221
