substation,technology,capacity_mw,curtailment_pct,binding_branch,confidence,confidence_reason,model_residual_mw,pel_mw,residual_pct_of_pel,model_residual_std,model_max_residual
MAES,BESS,50,26.68,TROS3_#4L5->MAES3_MAIN1,Moderate,Branch active (mean 2.7 MW) but no generation residual available,,26.635,,,
MYND,PV,5,3.24,ABYS1_213->ABYS3_2T0,Moderate,Branch active (mean 8.2 MW) but no generation residual available,,60.0,,,
MYND,PV,10,3.66,ABYS1_213->ABYS3_2T0,Moderate,Branch active (mean 8.2 MW) but no generation residual available,,60.0,,,
MYND,PV,20,4.52,ABYS1_213->ABYS3_2T0,Moderate,Branch active (mean 8.2 MW) but no generation residual available,,60.0,,,
MYND,PV,30,5.48,ABYS1_213->ABYS3_2T0,Moderate,Branch active (mean 8.2 MW) but no generation residual available,,60.0,,,
MYND,PV,50,8.39,ABYS1_213->ABYS3_2T0,Moderate,Branch active (mean 8.2 MW) but no generation residual available,,60.0,,,
MYND,Wind,5,10.96,ABYS1_213->ABYS3_2T0,Moderate,Branch active (mean 8.2 MW) but no generation residual available,,60.0,,,
MYND,Wind,10,12.2,ABYS1_213->ABYS3_2T0,Moderate,Branch active (mean 8.2 MW) but no generation residual available,,60.0,,,
MYND,Wind,20,14.7,ABYS1_213->ABYS3_2T0,Moderate,Branch active (mean 8.2 MW) but no generation residual available,,60.0,,,
MYND,Wind,30,17.44,ABYS1_213->ABYS3_2T0,Moderate,Branch active (mean 8.2 MW) but no generation residual available,,60.0,,,
MYND,Wind,50,25.49,ABYS1_213->ABYS3_2T0,Moderate,Branch active (mean 8.2 MW) but no generation residual available,,60.0,,,
MYND,BESS,5,8.72,ABYS1_213->ABYS3_2T0,Moderate,Branch active (mean 8.2 MW) but no generation residual available,,60.0,,,
MYND,BESS,10,10.88,ABYS1_213->ABYS3_2T0,Moderate,Branch active (mean 8.2 MW) but no generation residual available,,60.0,,,
MYND,BESS,20,14.89,ABYS1_213->ABYS3_2T0,Moderate,Branch active (mean 8.2 MW) but no generation residual available,,60.0,,,
MYND,BESS,30,19.02,ABYS1_213->ABYS3_2T0,Moderate,Branch active (mean 8.2 MW) but no generation residual available,,60.0,,,
MYND,BESS,50,29.67,ABYS1_213->ABYS3_2T0,Moderate,Branch active (mean 8.2 MW) but no generation residual available,,60.0,,,
NANG,PV,5,0.19,NANG3_#1L5->WGWB3_2L3,High,Residual 0.3 MW on 5 MW PEL — operationally negligible.,-0.2988626868888269,5.2641,5.6773748007983675,0.6693794095614328,2.5524283394370673
NANG,PV,10,7.13,NANG3_#1L5->WGWB3_2L3,High,Residual 0.3 MW on 5 MW PEL — operationally negligible.,-0.2988626868888269,5.2641,5.6773748007983675,0.6693794095614328,2.5524283394370673
NANG,PV,20,27.69,NANG3_#1L5->WGWB3_2L3,High,Residual 0.3 MW on 5 MW PEL — operationally negligible.,-0.2988626868888269,5.2641,5.6773748007983675,0.6693794095614328,2.5524283394370673
NANG,PV,30,41.95,NANG3_#1L5->WGWB3_2L3,High,Residual 0.3 MW on 5 MW PEL — operationally negligible.,-0.2988626868888269,5.2641,5.6773748007983675,0.6693794095614328,2.5524283394370673
NANG,PV,50,58.33,NANG3_#1L5->WGWB3_2L3,High,Residual 0.3 MW on 5 MW PEL — operationally negligible.,-0.2988626868888269,5.2641,5.6773748007983675,0.6693794095614328,2.5524283394370673
NANG,Wind,5,0.0,,N/A,No curtailment — no binding constraint,,,,,
NANG,Wind,10,0.29,NANG3_#1L5->WGWB3_2L3,High,Residual 0.3 MW on 5 MW PEL — operationally negligible.,-0.2988626868888269,5.2641,5.6773748007983675,0.6693794095614328,2.5524283394370673
NANG,Wind,20,17.08,NANG3_#1L5->WGWB3_2L3,High,Residual 0.3 MW on 5 MW PEL — operationally negligible.,-0.2988626868888269,5.2641,5.6773748007983675,0.6693794095614328,2.5524283394370673
NANG,Wind,30,34.87,NANG3_#1L5->WGWB3_2L3,High,Residual 0.3 MW on 5 MW PEL — operationally negligible.,-0.2988626868888269,5.2641,5.6773748007983675,0.6693794095614328,2.5524283394370673
NANG,Wind,50,55.39,NANG3_#1L5->WGWB3_2L3,High,Residual 0.3 MW on 5 MW PEL — operationally negligible.,-0.2988626868888269,5.2641,5.6773748007983675,0.6693794095614328,2.5524283394370673
NANG,BESS,5,0.02,NANG3_#1L5->WGWB3_2L3,High,Residual 0.3 MW on 5 MW PEL — operationally negligible.,-0.2988626868888269,5.2641,5.6773748007983675,0.6693794095614328,2.5524283394370673
NANG,BESS,10,7.58,NANG3_#1L5->WGWB3_2L3,High,Residual 0.3 MW on 5 MW PEL — operationally negligible.,-0.2988626868888269,5.2641,5.6773748007983675,0.6693794095614328,2.5524283394370673
NANG,BESS,20,33.66,NANG3_#1L5->WGWB3_2L3,High,Residual 0.3 MW on 5 MW PEL — operationally negligible.,-0.2988626868888269,5.2641,5.6773748007983675,0.6693794095614328,2.5524283394370673
