branch,published_sf,mean_implied,std_implied,p5,p95,n_obs,sign_correct,magnitude_error_pct,instability_pct,range_p5_p95
RHOS1T->CARM1_305,-0.0627,-0.036174953537203174,0.08680427126673977,-0.1839706105272048,0.10120055553049366,2395,True,-42.30469930270627,138.44381382255148,0.28517116605769843
SWAN1_#310->SWAN3_#3T0,0.4995803970223324,0.07095609865716021,0.03448185074814659,0.010070648355430235,0.1263557596737556,2395,True,-85.79686090965889,6.902162485491834,0.11628511131832536
SWAN1_305->82V97S,0.4831,0.004967645546605531,0.12085454720504472,-0.17777240730681232,0.2354360296642262,2395,True,-98.97171485270016,25.016465991522402,0.4132084369710385
SWAN1_505->MGWT1M,0.29322191510365253,0.027576261157923387,0.12662982448352184,-0.1680971125633135,0.25633344394880114,2395,True,-90.59542969420436,43.18566176704726,0.42443055651211464
SWAN1_705->LLEL1_303,0.0681,0.041828148778180044,0.09856962604847133,-0.12290227259602152,0.20119326968611068,2395,True,-38.57834246963282,144.74247584210184,0.3240955422821322
SWAN1_805->UU19E,0.9703,-0.03536390054000169,0.023260982976546742,-0.07713701045735234,-0.004774451151241349,2395,False,-96.35536426466024,2.3972980497317056,0.07236255930611099
SWAN2_H43B->SWAN1_SGT4B,0.23908985545335087,0.041695859275033255,0.14984155396160356,-0.21098450728015242,0.2743739110292894,2395,True,-82.56059037052344,62.67164856387616,0.4853584183094418
SWAN3_#2T0->SWAN1_#210,-0.5006803970223325,-0.07726743823785631,0.03286640458308731,-0.13113956295510315,-0.020658113853914927,2395,True,-84.56751278911968,6.56434819069246,0.11048144910118822
SWAN3_1L5->GARN3_2L5,0.3606,-0.011589486217045223,0.010515092452813181,-0.030204051770306644,0.0021026745131177914,2395,False,-96.78605484829583,2.915999016309812,0.03230672628342444
SWAN3_6L5->WAUN3_1L5,0.2235,-0.0075672175929903315,0.006700875583104077,-0.019266016550072818,0.0010412412695847248,2395,False,-96.61422031633542,2.9981546233127863,0.020307257819657542
SWAN4_610->SWAN1_SGT6,0.22771153745072273,0.048881865900708366,0.17566143100898274,-0.24729388806770583,0.32165245880567217,2395,True,-78.53342590895882,77.14208642019126,0.568946346873378
SWAN4_710->SWAN1_SGT7,0.29588165571616293,0.05093412083311532,0.1830348094899039,-0.2577369290859863,0.3351395422686842,2395,True,-82.78564424352956,61.860816969838716,0.5928764713546705
SWAN4_SGT4A->SWAN2_T43A,0.2389667279894875,0.04167563551963381,0.14977425660521237,-0.2108514777304642,0.274204348654312,2395,True,-82.56006772563451,62.67577828315964,0.4850558263847762
SWAN4_SGT5->SWAN1_SGT5,0.22448068331143234,0.048184835030882875,0.17315827344724988,-0.24381458237343695,0.31704592791354513,2395,True,-78.53497489401622,77.13727118650091,0.5608605102869821
SWAN4_SGT9->SWAN2_SGT9,-0.0895684888304862,-0.017461470471550982,0.06274837510643042,-0.1149034703101795,0.08841207212887708,2395,True,-80.50489552793742,70.05630654904263,0.20331554243905658
TIRJ33->TIRJ3_#11L5,-0.4983000000000001,8.963522361298517e-06,0.0016338759010629939,-0.0031069957478684794,0.0022978936940681208,2395,False,-99.99820117953817,0.3278900062337936,0.0054048894419366
TIRJ34->TIRJ3_#14L5,-0.4993,9.539109228082618e-06,0.0016410710789633882,-0.0031202796434075257,0.0022978836118408945,2395,False,-99.99808950345923,0.32867435989653276,0.00541816325524842
TIRJ3_#1T0->TIRJ1_#110,-0.5168,0.029454610010254127,0.04252348758822318,-0.031874941495544214,0.10718225939549852,2395,False,-94.30057855838736,8.228229022489003,0.13905720089104273
TIRJ3_#2T0->TIRJ1_#210,-0.4808,0.021710817664522455,0.037454907126889224,-0.03372362954621924,0.08960233716820268,2395,False,-95.48443892168835,7.790122114577625,0.12332596671442192
TRAV31->TRAV3_#1T0,0.32836776556776553,-0.010427345515250304,0.012094922691320039,-0.03239538980649673,0.007455652552688488,2395,False,-96.82449174107548,3.6833465277589794,0.03985104235918521
TRAV31->YSTR1_#110,-0.32836776556776553,0.00446880597396132,0.015978456530289373,-0.019953946401554824,0.03212458255550519,2395,False,-98.63908506176467,4.866024685054503,0.052078528957060014
TRAV32->TRAV3_#2T0,0.34227582417582414,-0.013178731220925983,0.013662200501116712,-0.0376334685739464,0.0067192192387093,2395,False,-96.14967511869719,3.9915762481952446,0.0443526878126557
TRAV32->YSTR1_#210,-0.34227582417582414,0.010653161525657883,0.015757642514864435,-0.012038094858562434,0.03983486458658043,2395,False,-96.88755069064257,4.603784843059751,0.05187295944514286
TRMY3M->TRAV3_#5L5,-0.9133,0.0008746525626872143,0.010817137215734638,-0.02070064036734481,0.016091218574863658,2395,False,-99.90423162567751,1.1844013156393998,0.03679185894220847
TROS1_#110->TROS3_#1T0,0.4951,0.031048318814860542,0.03385620290180919,-0.031197673488846587,0.08001040421416,2395,True,-93.7288792537143,6.838255484106078,0.11120807770300659
TROS1_#210->TROS3_#2T0,0.5035,0.03488826924689489,0.0330252375589497,-0.02186219204655533,0.08734597880485474,2395,True,-93.07085019922643,6.5591335767526715,0.10920817085141007
TSNC3->INCS3_MAIN1,0.0727,-0.0019136944095486746,0.0022451366972634735,-0.0054909434908928115,0.0019006609712528446,2395,False,-97.36768306802108,3.0882210416278864,0.007391604462145656
TYNY3T->SWAN3_3L5,-0.9278,-0.0006209062225439738,0.002147973461053877,-0.004221751314755761,0.0026235497994923874,2395,True,-99.93307757894547,0.23151255238778584,0.006845301114248148
UU19E->SWAW1_MAIN1,0.9704999999999999,-0.03536428652603709,0.023264658810452706,-0.07710514502151224,-0.004807725519499891,2395,False,-96.35607557691529,2.397182772844174,0.07229741950201235
W38_1NE->C6__1SW,0.0702,0.05030682712720382,0.10086515666862975,-0.11589678691876767,0.2150303286178443,2395,True,-28.33785309515125,143.68255935702243,0.33092711553661197
WSTC3_#1L5->56L6123P47,0.05153663003663004,-0.004788931561853366,0.006452061193334782,-0.014379097475567136,0.00633581374459682,2395,False,-90.70771302188443,12.519369599348913,0.020714911220163956
WSTC3_#2L5->ABEP3_4L3,-0.05153663003663004,0.007256454115641803,0.006102660032751505,-0.002689292194153937,0.01718035144267301,2395,False,-85.91981254792131,11.841402956332212,0.019869643636826945
