mrid,name,from_node,to_node,from_name,to_name,r_ohm,x_ohm,bch_s,length_km,kv,container
9acf915a-4d07-420b-8886-78b5cfd21712,33kV Line LOUG3_1L9-LOUG3_#1L5[sec]0,af899a35-1ce6-4ee5-b13e-403c3172312b,85ee59ef-cc59-4d83-a972-d20ba8c65dde,LOUG3_1L9,LOUG3_#1L5,0.00378972,0.00409464,2.84665e-06,0.035,33.0,be2729a0-ca6b-4cba-8048-d3dcdc0c5ee3
5c1ffc40-3755-4c44-9af7-c79f8626414d,33kV Line LWND3T-58L5303P19[sec]0,ad3be21a-763e-4ec7-8648-e231dfc0a832,3b4324af-dcf9-4095-a0c7-ac0b183140ac,LWND3T,58L5303P19,2.32619,3.37392,3.29299e-05,9.774,33.0,4333833c-453e-46f4-b834-7466835266b8
c15ee584-e70e-4d42-84c6-720958ab93ef,33kV Line LWND3T-LWND3_#1L5[sec]0,ad3be21a-763e-4ec7-8648-e231dfc0a832,03285868-d3de-4604-afcc-087135d05b0f,LWND3T,LWND3_#1L5,0.00282051,0.00303831,2.11203e-06,0.026,33.0,00146af4-5892-4398-b802-8fb5011de2a2
bf6c9f21-858f-4fea-b312-9c981b0114aa,33kV Line LWNI3_1L3-RHOS3_2L5[sec]0,90ba6d7e-7352-4a61-b2b2-72091a994015,add06955-54e0-481f-a12c-ad6db297d45d,LWNI3_1L3,RHOS3_2L5,2.91512,3.98076,4.01307e-05,10.708,33.0,e060d42c-11d5-4a8e-acc7-da24799092e1
d0c490e3-5e04-4d8e-b9aa-d722a57109ac,33kV Line MAEG3T-ABEC3_1L5[sec]0,b3d03fdd-f787-4fac-ba4b-b46c6246de03,ac4f195c-725c-48e4-bd16-d9fb867ddf1e,MAEG3T,ABEC3_1L5,1.02841,1.97981,4.02227e-05,5.771,33.0,028af4df-9320-4ab6-a517-b9a5a555fec5
b8dec67b-1cf3-42e4-a9be-493a28d6b499,33kV Line MAEG3T-MAEG3_#1L5[sec]0,b3d03fdd-f787-4fac-ba4b-b46c6246de03,79756882-be6f-433f-be2d-29cf1edfc717,MAEG3T,MAEG3_#1L5,0.00747054,0.00806949,5.60147e-06,0.069,33.0,31e27800-b00f-4288-9948-f28f3404ae94
8e21e17e-aa58-473a-8201-f2671eff709c,33kV Line MAEG3_1L9-MAEG3T[sec]0,49b03d4a-c4ca-43f7-9192-93db54d62067,b3d03fdd-f787-4fac-ba4b-b46c6246de03,MAEG3_1L9,MAEG3T,0.00266549,0.00492901,5.23075e-08,0.015,33.0,ed17d5e1-3fa7-455d-9961-400975765116
c03f4b07-f239-4f2d-b3e1-0573606c7a6e,33kV Line MAER3_#4L5-MAEW3_#1L5[sec]0,f2e29f75-1e2f-4771-a95a-4bb3c85246f0,f5ec4241-6e40-4b61-b730-1a4e1c65bb84,MAER3_#4L5,MAEW3_#1L5,0.408273,0.724177,0.000141758,3.087,33.0,b120309a-0d64-4c1b-81f3-fd2fc1a327d6
747dec78-7a91-41ed-b060-8c8653e235c3,33kV Line MAER3_2L9-MAER3_#1L5[sec]0,e8f736ac-fffd-4a82-91e5-644df69b3da4,deea35eb-a3b8-4ed7-b8bf-37e311db6003,MAER3_2L9,MAER3_#1L5,1.75403,2.39891,0.000183464,7.745,33.0,3fcbbf51-fa1d-417c-8b29-7019fb8a0a04
3c5fc458-712a-42de-ba5d-844e3de885dd,132kV Line MAET1-HIRW1_103[sec]0,3c75512d-e9ac-4cdb-982d-a485bc3dd484,311446ee-bf1f-4e0a-8245-96dd0e3dee72,MAET1,HIRW1_103,1.53393,3.47898,2.46919e-05,8.637,132.0,a4a7eb8e-d204-468b-81c3-9fdddda25d87
9a6bef76-5506-4965-88b9-c3748f13ad70,132kV Line MAET1-MAES1_105[sec]0,3c75512d-e9ac-4cdb-982d-a485bc3dd484,a46ba693-fec4-41a4-a421-1534b1a2477e,MAET1,MAES1_105,0.0830832,0.166166,4.48815e-05,1.079,132.0,c2a5c363-6824-4110-9a82-375314c97e24
aae40ef9-5413-4e67-853f-839608e440dc,132kV Line MAET1M-HIRW1_203[sec]0,4b84bf9d-177e-4a58-ad44-3927f370777c,1c0efd6e-33f7-49aa-96bf-4857a78d1f6c,MAET1M,HIRW1_203,1.53393,3.47898,2.46919e-05,8.637,132.0,a42a1f32-55de-41d5-bd23-dc9b30fa996a
31e007f7-70e4-4491-9fc3-6c3d8fdbe625,66kV Line MAGA61-CEFN6_#1T0[sec]0,1db94f5a-2bc2-4e02-9d3f-eb7806ccfec1,2f8028ea-af18-4738-82d8-f5d9edd9ebbd,MAGA61,CEFN6_#1T0,0.00895859,0.0108108,2.29508e-05,0.126,66.0,5e722961-02a2-4089-8d1d-4b762216fd47
cc4da906-7241-4b70-ba24-e79e8329acd8,66kV Line MAGA62-CEFN6_#2T0[sec]0,d2941e86-aaf5-4803-bd55-4e93ad0e7d91,ad2952b8-e9d1-4b09-a928-ee2c7cac4771,MAGA62,CEFN6_#2T0,0.011376,0.013728,2.91439e-05,0.16,66.0,ac32e79a-a043-4268-bafd-ff0ae0f6303a
5c86e345-d496-4a5d-ba60-b4ad595fd81c,132kV Line MAGT11-MAGO1_103[sec]0,2ce6729e-b775-44cd-a8fc-2dd6e6b5c699,bc12775c-982e-4285-b99c-f223f33a04f0,MAGT11,MAGO1_103,0.17083,0.633481,4.86613e-05,1.868,132.0,b3409e2c-41a6-4206-9161-cfd68fb74e89
8611e66e-b2e6-45ef-929c-3fe296acdf58,132kV Line MAGT11-SUDB1_103[sec]0,2ce6729e-b775-44cd-a8fc-2dd6e6b5c699,d554f739-7374-441d-929d-b683f67815ae,MAGT11,SUDB1_103,1.58823,3.6179,5.38459e-05,9.266,132.0,34e80bad-0f64-4d09-b304-98ecce0604c9
22b16415-f69b-4fc0-be85-865e28e9a897,132kV Line MAGT12-MAGO1_203[sec]0,4794aafa-b3a4-4c50-8a83-68920daa3b3c,679d4896-4bf9-411b-918f-2a85d6924117,MAGT12,MAGO1_203,0.16033,0.712455,8.65272e-06,1.824,132.0,c1eb0564-2b85-48c7-9a9c-5767d16bb4e8
8ebd086e-db16-4128-876a-26d682fb2f09,132kV Line MAGT12-SUDB1_203[sec]0,4794aafa-b3a4-4c50-8a83-68920daa3b3c,a762d455-f6d1-4465-9609-08ab6730942e,MAGT12,SUDB1_203,1.68879,3.83021,2.71848e-05,9.509,132.0,f1da39e3-c849-439f-97a0-9b98028d5c9e
46bb7458-0bec-47e8-9490-d9f7b28a8a77,33kV Line MANO3T-59L5309P6[sec]0,f47a6008-19e6-4479-9d31-465f1c174e46,13f178c4-9a28-4335-90bc-4b3482cf909b,MANO3T,59L5309P6,0.316492,0.227621,1.71871e-06,0.582,33.0,ea1b4eea-10cb-4277-8752-b00a1a79d405
e0d7a7ab-ce51-4443-a19c-ce0bbf819b0d,33kV Line MANO3T-LGAD3_2L3[sec]0,f47a6008-19e6-4479-9d31-465f1c174e46,b7b31986-1c22-4b58-82fd-84aa14618a6e,MANO3T,LGAD3_2L3,1.49768,2.04768,1.70376e-05,5.478,33.0,76d3bc7b-904e-4b81-8347-0608fb04862e
d77b95fd-f552-4a65-b859-3b5e98396678,33kV Line MANO3_1L9-MANO3_1H3[sec]0,2c612617-eef9-4899-b4ae-e72140b89a46,f8f6c26b-5f4f-4df6-8fca-b2b5e23f8970,MANO3_1L9,MANO3_1H3,0.477456,0.343386,2.59282e-06,0.878,33.0,f620dd4a-0e71-465a-ae36-b4fd9e3a18d4
c1af3446-f7fe-4bea-9366-45841173730e,66kV Line MANO6T-53L8045P47[sec]0,f2639783-f8ee-4e01-b739-e07db42d2b92,cac7ac5e-adbb-4472-b29d-e17254077ea8,MANO6T,53L8045P47,0.00712398,0.0102518,7.67805e-08,0.026,66.0,0c9c7816-49be-4d01-a14f-fcac0ab6ba99
